target,dataset,model,feature,times_selected,selection_rate
2-clases,bow,svc,políticas públicas_delta_cum_s8,1,0.2
2-clases,bow,svc,sesgo_cum_s10,1,0.2
2-clases,bow,svc,figuran_cum_s3,1,0.2
2-clases,bow,svc,impiden_diff_s3,1,0.2
2-clases,bow,svc,antigüedad_delta_cum_s8,1,0.2
2-clases,bow,svc,combatir_std_s8,1,0.2
2-clases,bow,svc,ciudadana_mean_s8,1,0.2
2-clases,bow,svc,políticas anticorrupción_mean_s8,1,0.2
2-clases,bow,svc,políticas anticorrupción_std_s8,1,0.2
2-clases,bow,svc,señalan_mean_s8,1,0.2
2-clases,bow,svc,señalan_std_s8,1,0.2
2-clases,bow,svc,debidamente_delta_cum_s8,1,0.2
2-clases,bow,svc,vínculos_mean_s8,1,0.2
2-clases,bow,svc,ejercicio derechos_mean_s8,1,0.2
2-clases,bow,svc,ejercicio derechos_std_s8,1,0.2
2-clases,bow,svc,corrupción derechos_mean_s8,1,0.2
2-clases,bow,svc,corrupción derechos_std_s8,1,0.2
2-clases,bow,svc,satisfacción_mean_s8,1,0.2
2-clases,bow,svc,aquellas_delta_cum_s8,1,0.2
2-clases,bow,svc,mercados_std_s3,1,0.2
2-clases,bow,svc,problemática_mean_s8,1,0.2
2-clases,bow,svc,problemática_std_s8,1,0.2
2-clases,bow,svc,pdf_std_s8,1,0.2
2-clases,bow,svc,vinculado_delta_cum_s8,1,0.2
2-clases,bow,svc,fines_mean_s8,1,0.2
2-clases,bow,svc,curso_std_s10,1,0.2
2-clases,bow,svc,si_delta_cum_s8,1,0.2
2-clases,bow,svc,interamericana derechos_diff_s8,1,0.2
2-clases,bow,svc,saca_cum_s9,1,0.2
2-clases,bow,svc,vía_std_s8,1,0.2
2-clases,bow,svc,sanción_std_s8,1,0.2
2-clases,bow,svc,relevantes_mean_s8,1,0.2
2-clases,bow,svc,todas_delta_cum_s8,1,0.2
2-clases,bow,svc,señalados_delta_cum_s8,1,0.2
2-clases,bow,svc,realización_delta_cum_s3,1,0.2
2-clases,bow,svc,corrupta_mean_s8,1,0.2
2-clases,bow,svc,derechos_mean_s8,1,0.2
2-clases,bow,svc,todas_std_s8,1,0.2
2-clases,bow,svc,corte_std_s8,1,0.2
2-clases,bow,svc,fomentar_std_s8,1,0.2
2-clases,bow,svc,vínculos_std_s8,1,0.2
